id;categoria;palabra;archivo_imagen;descripcion_actual;descripcion_ocr;descripcion_corregida
LSP-000600;paises_y_ciudades;callao;imagenes/paises_y_ciudades/revisar_pagina_230_tarjeta_04.png;;CALLAO Ki Configurar “C” con la mano derecha acompafar con movimiento de izquierda a derecha.;
LSP-000601;paises_y_ciudades;comas;imagenes/paises_y_ciudades/revisar_pagina_230_tarjeta_05.png;;<— —_>> Configurar “C” con la mano derecha y realizar un movimiento de derecha a izquierda, sobre el dorso de la mano ziquierda.;
LSP-000602;paises_y_ciudades;chorrillos;imagenes/paises_y_ciudades/revisar_pagina_230_tarjeta_06.png;;CHORRILLOS 1. Conlamano derechaconfigurar “C’”. 2. Juntar las manos con los dedos semiflexionados.;
LSP-000603;paises_y_ciudades;chosica;imagenes/paises_y_ciudades/revisar_pagina_231_tarjeta_01.png;;Con el pufio dela mano derecha ala altura del pecho realizar movimientos circulares hacia delante.;
LSP-000604;paises_y_ciudades;jesús maría;imagenes/paises_y_ciudades/revisar_pagina_231_tarjeta_02.png;;JESUS MARIA | 1.Sefa de Jesus. 2. Configurar “M” con la mano derecha. S fol;
LSP-000605;paises_y_ciudades;la victoria;imagenes/paises_y_ciudades/revisar_pagina_231_tarjeta_03.png;;LA VICTORIA ( _— ( — Configurar “V’con la mano derecha sobre la frente, acompafnar con movimiento hacia adelante.;
LSP-000606;paises_y_ciudades;lince;imagenes/paises_y_ciudades/revisar_pagina_231_tarjeta_04.png;;— —> Configurar “L” con la mano derecha con movimientos de derecha a izquierda, sobre el dorso dela mano izquierda.;
LSP-000607;paises_y_ciudades;la molina;imagenes/paises_y_ciudades/revisar_pagina_231_tarjeta_05.png;;A ( S ‘ - DP 4 ’ Configurar “M” con la mano derecha y ejecutar un movimiento ondulatorio hacia arriba.;
LSP-000608;paises_y_ciudades;magdalena;imagenes/paises_y_ciudades/revisar_pagina_231_tarjeta_06.png;;A ES giratorio.;
LSP-000609;paises_y_ciudades;miraflores;imagenes/paises_y_ciudades/revisar_pagina_232_tarjeta_01.png;;MIRAFLORES Jas 3 Us Configurar “C” con ambas manos ala altura de las orejas, realizar un movimiento giratorio.;
